SPECIES_CODE,SURVEY_DEFINITION_ID,COMMON_NAME,SPECIES_NAME,PLOT
420,98,big skate,Beringraja binoculata,FALSE
435,98,Bering skate,Bathyraja interrupta,FALSE
471,98,Alaska skate,Arctoraja parmifera,TRUE
471,143,Alaska skate,Arctoraja parmifera,TRUE
472,98,Aleutian skate,Bathyraja aleutica,FALSE
10110,98,arrowtooth flounder,Atheresthes stomias,TRUE
10110,143,arrowtooth flounder,Atheresthes stomias,TRUE
10112,98,Kamchatka flounder,Atheresthes evermanni,TRUE
10112,143,Kamchatka flounder,Atheresthes evermanni,TRUE
10115,98,Greenland turbot,Reinhardtius hippoglossoides,TRUE
10115,143,Greenland turbot,Reinhardtius hippoglossoides,TRUE
10120,98,Pacific halibut,Hippoglossus stenolepis,TRUE
10120,143,Pacific halibut,Hippoglossus stenolepis,TRUE
10130,98,flathead sole,Hippoglossoides elassodon,TRUE
10130,143,flathead sole,Hippoglossoides elassodon,FALSE
10140,98,Bering flounder,Hippoglossoides robustus,TRUE
10140,143,Bering flounder,Hippoglossoides robustus,TRUE
10180,98,Dover sole,Microstomus pacificus,TRUE
10200,98,rex sole,Glyptocephalus zachirus,TRUE
10210,98,yellowfin sole,Limanda aspera,TRUE
10210,143,yellowfin sole,Limanda aspera,TRUE
10211,98,longhead dab,Myzopsetta proboscidea,FALSE
10211,143,longhead dab,Myzopsetta proboscidea,FALSE
10212,98,Sakhalin sole,Limanda sakhalinensis,FALSE
10212,143,Sakhalin sole,Limanda sakhalinensis,FALSE
10220,98,starry flounder,Platichthys stellatus,TRUE
10220,143,starry flounder,Platichthys stellatus,FALSE
10261,98,northern rock sole,Lepidopsetta polyxystra,TRUE
10261,143,northern rock sole,Lepidopsetta polyxystra,TRUE
10270,98,butter sole,Isopsetta isolepis,FALSE
10285,98,Alaska plaice,Pleuronectes quadrituberculatus,TRUE
10285,143,Alaska plaice,Pleuronectes quadrituberculatus,FALSE
21720,98,Pacific cod,Gadus macrocephalus,TRUE
21720,143,Pacific cod,Gadus macrocephalus,TRUE
21740,98,walleye pollock,Gadus chalcogrammus,TRUE
21740,143,walleye pollock,Gadus chalcogrammus,TRUE
