"HAULJOIN","VESSEL","CRUISE","HAUL","STATIONID","GEAR","HAUL_TYPE"
-23133,162,202401,3,"11-21",172,20
-23134,162,202401,4,"11-20",172,20
-23135,162,202401,5,"11-06",172,20
-23144,162,202401,6,"11-07",172,20
-23145,162,202401,7,"11-23",172,20
-23146,162,202401,8,"11-08",172,20
-23147,162,202401,9,"11-33",172,20
-23148,162,202401,10,"11-25",172,20
-23149,162,202401,11,"11-36",172,20
-23150,162,202401,12,"11-26",172,20
-23151,162,202401,13,"11-30",172,20
-23156,162,202401,14,"11-28",172,20
-23157,162,202401,15,"11-37",172,20
-23158,162,202401,16,"11-13",172,20
-23159,162,202401,17,"11-27",172,20
-23901,162,202401,211,"N-31",172,20
-23902,162,202401,212,"O-31",172,20
-23903,162,202401,213,"P-32",172,20
-23904,162,202401,214,"P-31",172,20
-23905,162,202401,215,"Q-31",172,20
-23906,162,202401,216,"R-31",172,20
-23907,162,202401,217,"R-32",172,20
-23921,162,202401,219,"61-20",172,20
-23922,162,202401,220,"61-04",172,20
-23923,162,202401,221,"61-17",172,20
-23924,162,202401,222,"61-22",172,20
-23925,162,202401,223,"61-06",172,20
-23926,162,202401,224,"61-05",172,20
-23927,162,202401,225,"61-07",172,20
-23931,162,202401,226,"61-09",172,20
-23932,162,202401,227,"61-21",172,20
-23933,162,202401,228,"61-12",172,20
-23934,162,202401,229,"61-15",172,20
-23936,162,202401,231,"61-18",172,20
-23937,162,202401,232,"61-13",172,20
-23128,134,202401,2,"11-21",44,20
-23129,134,202401,3,"11-20",44,20
-23130,134,202401,4,"11-06",44,20
-23136,134,202401,5,"11-07",44,20
-23137,134,202401,6,"11-23",44,20
-23138,134,202401,7,"11-08",44,20
-23139,134,202401,8,"11-33",44,20
-23140,134,202401,9,"11-25",44,20
-23141,134,202401,10,"11-36",44,20
-23142,134,202401,11,"11-26",44,20
-23143,134,202401,12,"11-30",44,20
-23152,134,202401,13,"11-28",44,20
-23153,134,202401,14,"11-37",44,20
-23154,134,202401,15,"11-13",44,20
-23155,134,202401,16,"11-27",44,20
-23898,134,202401,201,"N-31",44,3
-23899,134,202401,202,"O-31",44,3
-23900,134,202401,203,"P-32",44,3
-23908,134,202401,204,"P-31",44,3
-23909,134,202401,205,"Q-31",44,3
-23910,134,202401,206,"R-31",44,3
-23911,134,202401,207,"R-32",44,3
-23913,134,202401,209,"61-20",44,20
-23914,134,202401,210,"61-04",44,20
-23915,134,202401,211,"61-17",44,20
-23916,134,202401,212,"61-22",44,20
-23917,134,202401,213,"61-06",44,20
-23918,134,202401,214,"61-05",44,20
-23919,134,202401,215,"61-07",44,20
-23928,134,202401,216,"61-09",44,20
-23929,134,202401,217,"61-21",44,20
-23930,134,202401,218,"61-12",44,20
-23938,134,202401,219,"61-15",44,20
-23940,134,202401,221,"61-18",44,20
-23941,134,202401,222,"61-13",44,20
