min_depth_fm,max_depth_fm,scope_fm,min_depth_m,max_depth_m,scope_m
1,21,75,1,38,137.16
22,29,100,39,53,182.88
30,38,125,54,69,228.6
39,47,150,70,86,274.32
48,57,175,87,104,320.04
58,67,200,105,123,365.76
68,79,225,124,145,411.48
80,94,300,146,173,548.64
95,110,325,174,201.168,594.36
110,125,350,201,228.6,640.08
126,140,375,229,256.032,685.8
141,156,400,258,284,731.52
157,171,425,285,312,777.24
172,186,450,313,341,822.96
187,201,475,342,368,868.68
202,217,500,369,366,914.4
218,232,525,367,425,960.12
233,248,550,426,454,1005.84
249,263,575,455,480,1051.56
264,278,600,481,508,1097.28
